Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level
S0129,4.9,3.3,9.6,6.1,1.4,4.0,Medium
S0130,4.7,0.7,6.3,4.9,0.1,3.66,Medium
S0131,4.3,2.0,7.2,6.0,1.2,4.0,Low
S0132,5.1,1.4,6.8,1.5,0.8,3.45,Low
S0133,5.4,2.0,9.3,2.5,1.8,3.69,Low
S0134,10.1,1.2,6.6,1.2,3.8,3.46,Medium
S0135,5.4,2.7,4.5,4.5,0.9,2.67,Medium
S0136,3.5,0.6,6.9,3.4,0.5,3.55,Low
S0137,7.6,2.2,7.1,2.8,1.3,3.45,Low
S0138,3.5,4.1,9.7,2.5,1.0,4.0,Medium
S0139,6.4,2.0,3.9,1.6,2.2,3.17,Medium
S0140,3.7,1.4,7.8,0.6,0.6,4.0,Low
S0141,7.8,1.3,7.7,2.0,0.6,3.74,Low
S0142,8.4,3.9,6.6,4.0,0.9,2.52,Low
S0143,4.1,4.3,3.6,1.2,0.9,2.4,High
S0144,8.9,3.8,6.3,2.0,1.3,3.83,Low
S0145,6.0,1.6,7.5,2.7,1.7,3.97,Low
S0146,9.9,3.5,5.1,5.5,1.5,2.94,High
S0147,9.0,3.7,6.7,0.6,1.0,3.75,Low
S0148,3.9,1.1,8.7,7.1,1.6,4.0,Low
S0149,3.4,1.6,3.8,6.0,0.7,2.21,Medium
S0150,5.7,2.9,8.7,1.8,0.2,3.87,Medium
S0151,3.1,4.4,9.0,3.6,1.8,3.5,Low
S0152,9.3,2.0,6.5,3.2,0.4,2.95,Medium
S0153,3.3,3.3,4.6,3.6,1.0,2.54,Medium
S0154,4.5,3.2,6.1,3.4,1.5,3.56,Low
S0155,6.6,4.7,8.1,1.9,0.4,4.0,Medium
S0156,2.3,2.3,7.4,2.3,2.3,2.54,Low
S0157,2.9,0.8,8.1,3.1,2.1,2.33,Low
S0158,8.0,3.7,7.9,2.1,1.8,3.68,Low
S0159,4.5,0.9,9.4,1.5,3.2,3.6,Low
S0160,5.7,4.1,8.1,5.0,2.0,4.0,Low
S0161,6.8,4.0,5.8,3.0,0.9,3.95,Medium
S0162,2.1,3.1,6.1,6.1,3.4,2.34,Low
S0163,9.8,2.2,8.9,5.3,1.1,2.68,Medium
S0164,3.0,0.8,7.9,2.4,2.2,4.0,Low
S0165,2.5,1.7,7.2,4.8,1.1,3.06,Low
S0166,6.2,1.4,3.9,5.5,0.3,2.78,Medium
S0167,8.7,2.4,9.6,4.9,3.8,3.47,Low
S0168,4.7,2.3,7.5,5.5,3.6,4.0,Low
S0169,7.5,2.0,6.7,4.5,1.0,3.01,Low
S0170,4.1,1.6,5.7,0.8,0.3,3.26,Medium
S0171,11.0,2.1,6.5,4.1,0.9,2.75,Medium
S0172,8.7,4.8,6.9,3.7,0.8,2.55,Medium
S0173,11.1,1.4,9.6,3.9,1.8,2.63,Medium
S0174,3.4,1.4,5.4,4.7,1.2,3.82,Medium
S0175,2.4,5.1,9.1,6.1,3.8,2.19,Medium
S0176,7.4,3.1,5.2,5.0,0.9,2.45,High
S0177,3.7,2.5,7.4,3.5,0.6,3.89,Low
S0178,3.1,4.3,9.8,5.4,2.5,3.98,Medium
S0179,6.5,2.5,4.7,2.7,1.3,3.47,Medium
S0180,5.3,0.9,5.7,4.1,0.6,3.21,Medium
S0181,8.4,2.3,6.9,3.6,2.5,3.5,Low
S0182,5.8,1.6,9.0,4.9,2.0,3.46,Low
S0183,8.4,4.1,7.9,5.2,2.1,3.9,Medium
S0184,7.3,1.2,9.0,5.5,0.3,3.26,Medium
S0185,8.1,1.1,6.3,4.5,0.8,2.93,Low
S0186,5.4,0.2,6.0,3.7,3.5,3.92,Low
S0187,6.3,1.5,7.6,3.3,2.4,4.0,Low
S0188,5.6,5.0,6.3,3.8,3.1,3.68,Low
S0189,2.8,4.7,7.8,1.0,1.1,2.89,Medium
S0190,5.9,1.8,7.5,0.9,2.8,4.0,Low
S0191,10.5,5.1,8.2,1.4,2.3,3.76,Medium
S0192,7.5,3.1,6.8,2.1,3.8,2.69,Low
S0193,4.9,2.2,5.3,4.9,2.1,4.0,Low
S0194,4.0,4.8,5.2,2.8,3.2,4.0,Medium
S0195,4.9,2.9,6.6,2.1,3.6,4.0,Low
S0196,3.8,1.4,4.0,3.9,1.2,2.94,Medium
S0197,8.5,2.2,10.0,1.7,2.7,3.51,Low
S0198,8.3,3.5,7.5,1.4,0.4,3.72,Low
S0199,9.4,2.8,8.4,3.0,0.7,3.61,Medium
S0200,4.9,1.3,7.0,1.0,1.8,4.0,Low
S0201,4.0,3.7,6.2,2.9,0.2,3.65,Medium
S0202,5.2,2.7,6.1,4.2,2.7,3.59,Low
S0203,7.6,0.6,6.9,1.3,1.0,4.0,Low
S0204,6.9,2.6,3.6,2.3,1.6,3.19,Medium
S0205,2.7,1.8,4.0,1.1,1.3,1.76,Medium
S0206,6.8,3.7,5.5,1.6,0.6,3.38,Medium
S0207,6.3,3.2,4.0,6.3,0.5,3.24,Medium
S0208,8.6,3.2,8.5,2.4,2.5,3.91,Low
S0209,2.6,4.3,7.2,5.0,1.4,2.92,Medium
S0210,7.1,0.9,4.4,2.0,0.8,2.85,Medium
S0211,8.6,1.4,10.1,2.4,0.9,3.19,Medium
S0212,5.4,2.5,8.0,1.9,3.8,4.0,Low
S0213,10.5,2.9,5.5,4.1,0.5,3.13,High
S0214,7.1,3.4,6.7,2.4,1.3,3.27,Low
S0215,11.0,0.6,8.9,3.5,1.4,3.07,Medium
S0216,8.7,4.4,6.7,2.1,1.8,3.83,Medium
S0217,9.2,1.4,7.5,3.8,2.2,3.72,Medium
S0218,9.2,1.3,5.8,6.8,0.9,2.59,High
S0219,8.4,2.3,5.8,5.5,1.4,2.43,High
S0220,6.0,1.2,6.5,6.8,1.0,3.87,Low
S0221,6.5,1.7,8.3,1.4,3.4,4.0,Low
S0222,2.6,1.2,7.1,2.4,2.6,2.92,Low
S0223,4.9,1.5,7.5,4.2,0.8,4.0,Low
S0224,5.2,3.9,8.5,3.5,2.7,4.0,Low
S0225,3.6,1.0,5.9,1.0,1.6,3.96,Low
S0226,9.6,1.7,7.0,0.8,0.8,2.99,Medium
S0227,10.9,5.0,3.4,6.5,1.9,2.26,High
S0228,5.5,2.3,7.7,1.5,0.3,4.0,Low
S0229,4.2,3.2,5.5,4.0,3.4,3.88,Low
S0230,5.0,4.1,5.4,4.2,2.6,3.6,Medium
S0231,9.8,3.1,7.0,3.7,2.7,3.47,Medium
S0232,9.5,3.1,7.8,1.9,2.0,3.82,Medium
S0233,4.7,2.9,4.8,3.9,3.9,3.3,Medium
S0234,7.6,2.6,8.1,5.6,1.3,3.52,Medium
S0235,4.3,3.0,8.5,4.6,2.4,4.0,Low
S0236,3.0,2.5,3.4,2.3,1.2,3.12,Medium
S0237,4.7,3.1,6.5,2.9,1.0,3.61,Low
S0238,2.6,2.7,7.7,3.7,1.5,2.62,Low
S0239,4.6,4.1,7.1,3.0,0.3,3.85,Medium
S0240,4.7,2.6,7.1,3.7,2.3,3.84,Low
S0241,7.9,3.2,9.8,0.5,0.9,2.72,Medium
S0242,9.5,0.7,9.6,2.4,0.6,3.12,Medium
S0243,5.3,1.5,6.0,2.2,2.5,3.43,Low
S0244,6.1,3.2,6.0,2.7,0.7,3.82,Low
S0245,3.4,3.1,5.4,3.2,2.1,3.85,Low
S0246,3.9,5.0,6.9,4.9,1.7,3.52,Low
S0247,2.2,2.9,9.8,3.6,2.5,2.21,Low
S0248,3.6,2.8,6.6,5.2,2.9,3.92,Low
S0249,4.5,1.5,8.3,2.1,2.5,4.0,Low
S0250,2.8,2.8,6.8,3.5,0.8,1.75,Low
S0251,7.2,4.1,5.6,1.2,0.3,3.37,High
S0252,5.7,1.4,6.5,3.6,1.5,4.0,Low
S0253,11.0,1.1,7.9,2.7,1.4,4.0,Medium
S0254,11.1,1.1,4.8,4.4,1.8,2.63,High
S0255,4.0,0.8,4.7,5.7,0.9,2.37,Medium
S0256,4.5,0.8,7.1,1.0,2.5,4.0,Low
S0257,3.8,2.5,9.0,3.9,1.6,3.45,Low
S0258,6.6,5.6,7.7,3.4,2.2,3.93,Low
S0259,5.1,0.7,7.3,6.6,0.8,3.7,Low
S0260,5.6,0.9,6.8,4.6,1.2,3.99,Low
S0261,6.6,3.6,9.5,1.9,1.3,4.0,Low
S0262,8.3,2.4,7.5,1.2,2.3,4.0,Low
S0263,3.1,3.8,8.4,4.3,0.4,3.68,Low
S0264,4.5,0.9,9.6,3.4,1.1,3.53,Low
S0265,4.7,2.1,7.4,3.2,3.0,4.0,Low
S0266,8.4,1.4,9.5,1.4,2.5,3.3,Low
S0267,4.6,4.2,8.9,4.9,2.4,3.65,Low
S0268,4.8,1.2,7.9,2.4,3.5,4.0,Low
S0269,6.4,3.8,5.1,5.4,3.0,4.0,Medium
S0270,7.5,1.3,7.0,2.6,0.8,3.41,Low
S0271,4.5,0.8,3.9,1.5,3.3,3.35,Medium
S0272,4.9,1.7,7.0,2.8,0.7,4.0,Low
S0273,6.4,1.4,7.5,3.9,0.8,3.79,Low
S0274,11.3,0.7,7.9,7.1,1.0,3.58,Medium
S0275,3.2,1.0,6.1,1.3,2.1,4.0,Low
S0276,11.5,3.8,7.5,2.2,1.9,3.58,Medium
S0277,5.5,2.1,5.0,5.7,1.4,3.65,Medium
S0278,4.8,3.8,8.1,4.7,0.2,3.65,Medium
S0279,4.8,2.3,3.8,2.0,2.3,3.23,Medium
S0280,3.7,0.3,5.8,6.9,2.5,3.46,Medium
S0281,10.1,2.3,4.9,3.3,1.4,1.94,High
S0282,4.3,3.3,6.9,2.5,1.3,3.99,Low
S0283,5.1,3.6,9.1,6.5,2.4,4.0,Low
S0284,5.0,1.5,8.7,0.8,2.9,3.46,Low
S0285,5.1,2.9,7.7,5.8,1.9,4.0,Low
S0286,5.5,1.2,8.1,3.2,2.0,4.0,Low
S0287,2.2,0.9,8.0,1.1,0.5,2.46,Low
S0288,4.1,1.8,8.3,4.0,0.9,4.0,Low
S0289,3.4,0.9,7.7,4.6,1.0,4.0,Low
S0290,4.6,1.4,5.0,3.7,2.4,4.0,Low
S0291,6.4,2.4,4.2,6.8,2.4,3.44,Medium
S0292,7.3,3.7,7.7,1.4,1.2,4.0,Low
S0293,9.5,1.4,6.5,2.8,1.4,3.47,Medium
S0294,3.8,1.0,5.5,5.7,1.9,3.84,Medium
S0295,4.1,3.8,8.9,5.3,3.0,4.0,Low
S0296,5.1,3.9,8.1,4.7,2.0,4.0,Low
S0297,3.4,2.5,10.3,6.3,0.4,3.47,Medium
S0298,7.1,3.8,5.6,3.1,2.6,3.07,Medium
S0299,7.2,2.5,7.4,3.1,1.1,4.0,Low
S0300,8.7,2.9,8.2,1.6,1.5,3.99,Low
S0301,1.6,1.5,8.0,7.4,0.6,2.39,Low
S0302,3.6,2.5,8.1,3.7,0.9,3.87,Low
S0303,4.5,3.6,7.2,0.3,2.3,3.87,Low
S0304,3.2,1.7,9.0,7.6,1.2,3.47,Low
S0305,5.0,3.3,9.1,3.6,1.3,4.0,Low
S0306,1.3,2.8,6.4,4.9,0.6,1.27,Low
S0307,6.0,2.3,7.6,1.0,1.8,4.0,Low
S0308,6.1,3.0,8.5,2.1,2.6,4.0,Low
S0309,5.4,0.8,4.4,2.3,2.4,3.48,Medium
S0310,5.5,2.1,5.2,2.3,1.4,4.0,Medium
S0311,2.7,1.4,7.4,4.4,3.9,2.86,Low
S0312,4.9,2.9,8.4,1.4,1.3,4.0,Low
S0313,8.2,1.9,7.3,3.6,0.9,2.88,Low
S0314,1.9,0.5,8.7,2.1,1.6,1.65,Low
S0315,4.1,4.7,5.9,2.8,2.8,3.89,Medium
S0316,7.8,2.2,6.9,1.5,0.6,3.12,Low
S0317,7.1,2.3,6.7,4.4,2.3,3.21,Low
S0318,3.1,3.4,7.7,6.6,0.5,3.67,Low
S0319,2.4,1.6,5.9,2.0,2.9,2.25,Low
S0320,7.4,2.1,8.3,1.0,1.5,3.52,Low
S0321,2.1,0.8,9.3,1.5,1.6,1.97,Low
S0322,9.0,0.4,7.7,6.7,1.7,3.29,Low
S0323,9.6,0.7,6.7,2.0,2.2,2.97,Medium
S0324,5.8,2.2,10.1,3.7,1.2,3.97,Low
S0325,2.9,1.2,5.7,2.0,2.7,2.81,Low
S0326,2.9,4.1,8.0,1.0,2.1,3.8,Low
S0327,5.7,0.9,6.8,3.0,0.8,3.57,Low
S0328,4.8,2.9,7.2,1.0,1.6,4.0,Low
S0329,7.9,2.2,4.3,4.8,0.9,1.79,High
S0330,4.3,3.4,7.1,1.8,2.8,4.0,Low
S0331,8.7,4.1,5.8,2.9,3.6,3.28,Medium
S0332,9.2,2.5,7.0,1.3,2.0,3.58,Medium
S0333,8.0,1.9,8.3,6.7,0.9,2.75,Medium
S0334,7.7,2.6,7.6,4.9,1.3,3.66,Low
S0335,9.3,2.4,5.2,4.2,2.4,3.35,Medium
S0336,9.1,1.6,10.3,1.5,0.9,2.87,Medium
S0337,3.5,4.3,7.7,1.6,1.4,4.0,Medium
S0338,8.8,3.7,7.0,6.7,1.4,3.66,Medium
S0339,10.8,3.0,7.6,1.6,2.8,3.44,Medium
S0340,1.6,2.6,7.1,4.3,2.9,2.22,Low
S0341,2.6,3.3,5.4,5.4,2.5,2.84,Medium
S0342,4.2,2.2,8.6,2.9,1.2,4.0,Low
S0343,5.3,3.8,6.3,1.7,2.1,3.83,Low
S0344,4.4,2.1,8.2,3.9,1.9,4.0,Low
S0345,4.5,3.9,6.9,7.0,1.9,3.91,Low
S0346,4.3,3.1,4.5,1.7,2.7,2.96,Medium
S0347,3.7,3.9,6.0,3.9,2.1,3.22,Low
S0348,3.6,0.5,6.1,3.9,3.1,3.84,Low
S0349,8.6,3.5,8.4,4.0,1.0,3.68,Low
S0350,5.8,1.0,6.8,2.9,2.7,4.0,Low
S0351,5.7,1.9,10.1,1.3,1.4,3.93,Low
S0352,8.5,1.6,9.3,4.6,2.5,3.23,Low
S0353,1.8,5.0,8.0,2.2,2.6,2.7,Low
S0354,2.9,3.2,7.2,1.2,1.0,2.88,Low
S0355,1.6,2.2,6.1,3.6,1.1,2.12,Low
S0356,2.3,4.4,8.8,4.0,1.8,2.04,Low
S0357,8.9,1.3,4.6,2.0,2.4,2.52,Medium
S0358,11.4,4.0,7.1,1.0,2.6,3.66,Medium
S0359,6.1,1.0,4.7,5.9,2.0,3.2,Medium
S0360,4.9,1.7,6.7,4.7,1.8,4.0,Low
S0361,8.9,2.1,7.5,3.8,1.8,3.3,Low
S0362,5.4,1.0,6.5,3.0,2.0,4.0,Low
S0363,9.9,2.7,8.1,3.1,1.9,3.57,Medium
S0364,4.5,2.2,4.2,1.5,1.1,3.14,Medium
S0365,10.4,1.8,6.9,1.8,1.8,3.03,Medium
S0366,5.5,0.2,3.5,1.9,0.4,2.7,Medium
S0367,2.9,1.8,8.5,3.5,1.6,2.91,Low
S0368,4.7,0.9,7.5,1.3,1.2,4.0,Low
S0369,5.4,4.2,7.0,4.2,3.7,4.0,Low
S0370,4.7,2.0,6.6,5.9,2.1,3.6,Low
S0371,6.1,1.7,8.6,6.5,2.5,3.84,Low
S0372,6.7,1.0,6.5,2.9,1.2,3.82,Low
S0373,3.0,2.0,8.2,1.1,0.6,4.0,Low
S0374,6.6,3.1,6.4,3.6,0.2,3.45,Medium
S0375,6.3,4.5,7.5,5.5,2.2,4.0,Medium
S0376,3.2,0.3,6.7,2.2,1.5,3.78,Low
S0377,5.9,0.6,5.0,3.4,1.2,4.0,Medium
S0378,8.3,3.1,6.7,4.0,1.1,3.49,Low
S0379,4.2,3.6,6.8,4.9,2.5,3.25,Low
S0380,5.9,1.9,7.4,4.2,2.1,4.0,Low
S0381,4.6,1.2,6.7,1.5,2.9,3.71,Low
S0382,1.9,2.9,7.6,2.4,0.5,2.07,Low
S0383,4.8,1.7,7.8,3.6,1.2,4.0,Low
S0384,3.2,2.3,3.9,3.1,3.3,2.86,Medium
S0385,4.6,0.6,4.0,2.6,0.8,2.36,Medium
S0386,9.0,1.0,9.8,2.3,2.8,3.19,Low
S0387,6.1,3.8,10.3,2.2,3.3,3.54,Low
S0388,4.4,2.5,5.2,3.4,1.7,3.35,Low
S0389,7.4,3.9,6.8,2.2,1.0,2.92,Low
S0390,10.3,2.5,6.3,3.5,0.7,2.54,Medium
S0391,5.0,2.8,7.0,2.6,3.7,4.0,Low
S0392,5.8,2.8,5.5,2.6,0.4,3.97,Medium
S0393,5.2,2.5,5.7,6.7,3.0,3.88,Medium
S0394,8.6,1.1,8.4,1.4,2.4,4.0,Low
S0395,4.0,4.2,9.7,1.5,1.5,4.0,Medium
S0396,8.5,2.7,6.5,2.1,0.9,3.12,Low
S0397,7.4,1.9,7.0,3.1,1.7,3.96,Low
S0398,7.4,2.6,9.8,1.8,0.7,2.9,Medium
S0399,8.4,2.1,8.8,5.7,0.5,2.76,Medium
S0400,5.4,2.8,9.5,0.6,1.5,4.0,Low
S0401,6.8,3.3,7.9,1.5,1.1,4.0,Low
S0402,4.0,1.4,9.8,0.4,3.8,3.64,Low
S0403,6.7,3.8,6.1,0.5,2.2,3.95,Low
S0404,3.2,3.4,8.3,4.0,2.3,4.0,Low
S0405,8.3,2.8,4.7,3.0,0.6,1.71,High
S0406,2.5,1.8,4.9,5.0,3.2,1.01,Medium
S0407,2.5,4.9,7.1,2.2,0.6,3.14,Medium
S0408,6.9,0.7,4.5,2.6,1.1,3.2,Medium
S0409,3.8,1.6,8.5,6.2,1.3,4.0,Low
S0410,5.2,1.4,7.6,7.0,1.8,4.0,Low
S0411,4.5,2.9,5.0,5.7,1.6,4.0,Medium
S0412,6.3,0.8,7.8,2.0,2.1,4.0,Low
S0413,8.0,3.7,7.2,3.2,0.8,3.08,Low
S0414,5.3,1.6,5.1,3.8,0.5,3.77,Medium
S0415,7.3,1.7,3.1,3.2,0.4,2.29,High
S0416,2.4,3.9,3.3,2.0,2.2,1.39,Medium
S0417,4.2,1.0,6.4,2.1,2.6,4.0,Low
S0418,8.9,2.1,9.3,2.5,3.3,3.1,Low
S0419,2.7,3.1,7.0,2.6,1.9,3.16,Low
S0420,6.6,5.0,8.2,6.5,2.1,4.0,Medium
S0421,4.1,1.0,8.4,3.9,0.4,4.0,Low
S0422,5.4,2.1,6.8,1.8,1.2,3.96,Low
S0423,4.6,0.7,8.3,2.7,2.5,4.0,Low
S0424,6.5,2.2,9.0,1.9,2.0,4.0,Low
S0425,6.1,1.6,5.1,3.9,2.2,4.0,Low
S0426,4.7,3.2,5.5,5.7,1.1,3.39,Medium
S0427,4.5,0.7,4.9,3.2,1.0,2.54,Medium
S0428,1.8,1.1,6.6,3.1,1.3,1.46,Low
S0429,5.6,2.7,3.6,2.9,3.3,3.81,Medium
S0430,4.2,3.5,8.3,3.2,3.5,4.0,Low
S0431,3.0,0.4,8.3,5.0,0.7,4.0,Low
S0432,5.5,1.8,6.4,0.1,1.1,3.58,Low
S0433,6.4,5.2,8.8,0.6,2.9,4.0,Low
S0434,5.1,2.0,6.1,1.0,1.0,4.0,Low
S0435,3.9,2.3,8.2,3.0,0.5,4.0,Low
S0436,2.6,1.9,5.7,1.8,0.8,2.22,Medium
S0437,6.2,3.6,7.3,1.5,2.5,4.0,Low
S0438,6.6,1.5,6.3,6.0,1.1,4.0,Low
S0439,5.2,4.3,7.9,1.0,0.8,3.87,Medium
S0440,10.1,2.4,5.8,3.1,2.0,3.05,Medium
S0441,2.6,1.6,8.5,2.9,1.7,2.83,Low
